distance,AKM,Kar98k,M416,S1897,M16A4,SCAR_L,UMP9,SKS,Mini14
10~100,17.01,0.8,14.47,19.78,15.14,13.01,14.44,2.38,2.98
100~1000,17.02,0.49,17.03,17.15,15.03,14.53,14.48,1.84,2.44
1000~10000,15.43,3.66,22.81,2.96,18.39,18.82,8.66,3.59,5.69
10000~100000,9.87,18.49,16.71,0.1,15.55,12.54,1.09,11.38,14.26
