distance,AKM,Kar98k,M416,S1897,M16A4,SCAR_L,UMP9,SKS,Mini14
10~100,17.35,1.04,16.46,15.74,15.24,14.45,14.2,2.74,2.79
100~1000,16.86,0.56,19.76,13.25,14.68,16.37,14.12,2.05,2.34
1000~10000,14.83,3.39,26.83,2.15,15.97,20.49,8.7,3.66,3.97
10000~100000,8.19,21.97,17.89,0.05,10.61,13.43,0.93,15.24,11.68
