minutes,count
8,25
9,119
10,320
11,690
12,1742
13,1792
14,1249
15,789
16,947
17,1240
18,1365
19,658
20,765
21,1948
22,3003
23,1659
24,15591
25,6448
26,430
27,10804
28,196
29,6154
30,104
31,1443
32,411
33,34
34,3
35,0
36,296
