minutes,count
7,19
8,56
9,256
10,1434
11,3447
12,7003
13,7702
14,6176
15,3461
16,4093
17,5098
18,6574
19,3347
20,3289
21,8181
22,13863
23,6131
24,55501
25,26974
26,2305
27,54661
28,1312
29,36207
30,552
31,9540
32,2993
33,244
34,18
35,6
36,1648
37,4
